                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                0.62911,                0.50694,                 1.0139,                0.92946,                0.97788,                0.98603,                0.86097,                0.53449,                0.35666,                 0.8838,              0.0097862,              0.0097862,              0.0097862
                    110,                0.62163,                0.52067,                 1.0035,                 0.9507,                0.95445,                0.98631,                0.86056,                0.52405,                0.37134,                0.87339,              0.0097842,              0.0097842,              0.0097842
                    111,                0.61758,                0.50229,                0.99357,                0.94728,                0.95701,                0.98407,                0.86479,                0.52145,                0.35021,                0.86502,              0.0097822,              0.0097822,              0.0097822
                    112,                0.62181,                 0.5034,                 1.0067,                0.93882,                0.94388,                0.98175,                0.85802,                0.52342,                0.38601,                0.87453,              0.0097802,              0.0097802,              0.0097802
                    113,                0.61496,                0.49559,                  1.001,                0.94485,                0.94039,                 0.9843,                0.85616,                0.53093,                 0.3761,                 0.8825,              0.0097782,              0.0097782,              0.0097782
                    114,                0.62844,                0.50223,                 1.0062,                0.92728,                0.96546,                0.98451,                0.85928,                0.54105,                 0.3772,                0.88057,              0.0097763,              0.0097763,              0.0097763
                    115,                0.59675,                0.47993,                0.99513,                 0.9446,                 0.9562,                0.98661,                0.86231,                0.53037,                0.41124,                0.87154,              0.0097743,              0.0097743,              0.0097743
                    116,                0.62268,                 0.4917,                 1.0012,                 0.9315,                0.94383,                0.98092,                 0.8638,                0.51445,                0.37115,                0.86718,              0.0097723,              0.0097723,              0.0097723
                    117,                0.61266,                0.49689,                 1.0025,                0.94065,                0.96766,                0.98952,                0.86631,                0.51456,                 0.3499,                0.86871,              0.0097703,              0.0097703,              0.0097703
                    118,                 0.5916,                0.47955,                 0.9904,                0.93976,                0.96424,                0.98935,                0.86726,                0.51658,                0.34927,                0.86324,              0.0097683,              0.0097683,              0.0097683
                    119,                0.60874,                 0.4847,                 1.0042,                0.92688,                0.97835,                0.98722,                0.86449,                0.52792,                0.34859,                0.86961,              0.0097664,              0.0097664,              0.0097664
